행정구역,2019년01월_총인구수,2019년01월_남자 인구수,2019년01월_여자 인구수,2019년02월_총인구수,2019년02월_남자 인구수,2019년02월_여자 인구수,2019년03월_총인구수,2019년03월_남자 인구수,2019년03월_여자 인구수,2019년04월_총인구수,2019년04월_남자 인구수,2019년04월_여자 인구수,2019년05월_총인구수,2019년05월_남자 인구수,2019년05월_여자 인구수,2019년06월_총인구수,2019년06월_남자 인구수,2019년06월_여자 인구수,2019년07월_총인구수,2019년07월_남자 인구수,2019년07월_여자 인구수,2019년08월_총인구수,2019년08월_남자 인구수,2019년08월_여자 인구수,2019년09월_총인구수,2019년09월_남자 인구수,2019년09월_여자 인구수,2019년10월_총인구수,2019년10월_남자 인구수,2019년10월_여자 인구수,2019년11월_총인구수,2019년11월_남자 인구수,2019년11월_여자 인구수,2019년12월_총인구수,2019년12월_남자 인구수,2019년12월_여자 인구수
서울특별시,9766288,4772822,4993466,9770638,4773605,4997033,9770216,4772134,4998082,9766886,4769474,4997412,9762062,4766085,4995977,9757144,4762711,4994433,9751415,4759105,4992310,9744888,4754998,4989890,9740398,4751696,4988702,9736289,4749055,4987234,9732577,4746636,4985941,9729107,4744059,4985048
부산광역시,3438259,1690527,1747732,3436230,1689253,1746977,3434091,1687792,1746299,3431750,1686235,1745515,3429595,1684792,1744803,3427632,1683596,1744036,3425317,1682209,1743108,3423209,1681015,1742194,3421502,1679894,1741608,3418871,1678363,1740508,3416721,1677165,1739556,3413841,1675417,1738424
대구광역시,2460382,1218478,1241904,2458138,1217209,1240929,2455829,1215750,1240079,2454154,1214640,1239514,2452291,1213494,1238797,2450478,1212450,1238028,2448666,1211432,1237234,2446745,1210476,1236269,2445270,1209564,1235706,2443528,1208429,1235099,2441581,1207318,1234263,2438031,1205286,1232745
인천광역시,2955916,1482441,1473475,2956063,1482440,1473623,2956513,1482588,1473925,2956700,1482820,1473880,2957179,1483087,1474092,2957024,1482934,1474090,2956828,1482651,1474177,2956525,1482375,1474150,2956804,1482453,1474351,2956984,1482413,1474571,2957249,1482519,1474730,2957026,1482249,1474777
광주광역시,1459832,722902,736930,1459208,722689,736519,1458930,722511,736419,1458940,722495,736445,1459003,722531,736472,1459024,722559,736465,1459486,722801,736685,1459438,722608,736830,1459632,722595,737037,1459360,722448,736912,1458915,722168,736747,1456468,720740,735728
대전광역시,1488725,743851,744874,1487605,743135,744470,1486647,742647,744000,1485509,742095,743414,1484398,741504,742894,1482938,740834,742104,1481701,740227,741474,1480520,739595,740925,1479641,739110,740531,1478436,738400,740036,1476955,737607,739348,1474870,736607,738263
울산광역시,1154786,593436,561350,1153735,592853,560882,1152800,592362,560438,1152293,592037,560256,1151685,591690,559995,1151301,591449,559852,1150891,591161,559730,1150294,590889,559405,1149873,590619,559254,1149409,590332,559077,1148922,590098,558824,1148019,589712,558307
세종특별자치시,316814,158090,158724,320326,159860,160466,322693,161056,161637,324417,161944,162473,325777,162578,163199,327643,163528,164115,330298,164832,165466,332098,165740,166358,333757,166548,167209,336356,167810,168546,338647,168916,169731,340575,169845,170730
경기도,13090648,6584729,6505919,13104696,6592095,6512601,13116579,6598392,6518187,13129508,6605143,6524365,13145482,6613473,6532009,13159178,6620514,6538664,13176011,6629105,6546906,13193943,6638077,6555866,13207219,6644899,6562320,13218912,6650459,6568453,13228177,6654571,6573606,13239666,6659995,6579671
강원도,1541693,775683,766010,1540445,774988,765457,1540488,775015,765473,1540794,775002,765792,1540776,774920,765856,1540855,774923,765932,1540714,774779,765935,1540780,774790,765990,1540721,774707,766014,1540897,774848,766049,1541399,775250,766149,1541502,775386,766116
충청북도,1599155,809020,790135,1598868,808975,789893,1598775,809060,789715,1599488,809567,789921,1599854,809825,790029,1599650,809776,789874,1599368,809760,789608,1599402,809905,789497,1599339,809857,789482,1599499,809928,789571,1599651,810187,789464,1600007,810384,789623
충청남도,2125797,1081976,1043821,2125372,1082148,1043224,2125778,1082428,1043350,2125912,1082520,1043392,2125732,1082499,1043233,2125855,1082597,1043258,2125349,1082259,1043090,2125160,1082231,1042929,2124855,1082219,1042636,2124619,1082171,1042448,2124302,1082030,1042272,2123709,1081938,1041771
전라북도,1834532,912117,922415,1832227,911110,921117,1830499,910221,920278,1829273,909550,919723,1827871,908824,919047,1826717,908163,918554,1825381,907522,917859,1823982,906743,917239,1822883,906185,916698,1821813,905592,916221,1820799,905017,915782,1818917,904110,914807
전라남도,1878904,941188,937716,1875862,939624,936238,1874232,938881,935351,1873183,938558,934625,1871718,937881,933837,1870587,937429,933158,1868856,936541,932315,1867094,935765,931329,1865915,935364,930551,1865039,934993,930046,1865588,935574,930014,1868745,937674,931071
경상북도,2674005,1345392,1328613,2671587,1344344,1327243,2671036,1344255,1326781,2670375,1343986,1326389,2669731,1343742,1325989,2669850,1343822,1326028,2668836,1343416,1325420,2667657,1342782,1324875,2666795,1342456,1324339,2666072,1342074,1323998,2665775,1341962,1323813,2665836,1342037,1323799
경상남도,3373214,1697053,1676161,3371016,1696062,1674954,3369949,1695666,1674283,3368933,1695232,1673701,3367857,1694688,1673169,3366989,1694177,1672812,3366286,1693730,1672556,3365282,1693182,1672100,3364039,1692600,1671439,3363883,1692582,1671301,3363274,1692247,1671027,3362553,1692032,1670521
제주특별자치도,667337,335813,331524,667522,335865,331657,668120,336226,331894,668648,336429,332219,669328,336717,332611,669771,336944,332827,670209,337108,333101,670521,337206,333315,670610,337257,333353,670738,337282,333456,670895,337339,333556,670989,337345,333644
