행정구역,2020년01월_총인구수,2020년01월_남자 인구수,2020년01월_여자 인구수,2020년02월_총인구수,2020년02월_남자 인구수,2020년02월_여자 인구수,2020년03월_총인구수,2020년03월_남자 인구수,2020년03월_여자 인구수,2020년04월_총인구수,2020년04월_남자 인구수,2020년04월_여자 인구수,2020년05월_총인구수,2020년05월_남자 인구수,2020년05월_여자 인구수,2020년06월_총인구수,2020년06월_남자 인구수,2020년06월_여자 인구수,2020년07월_총인구수,2020년07월_남자 인구수,2020년07월_여자 인구수,2020년08월_총인구수,2020년08월_남자 인구수,2020년08월_여자 인구수,2020년09월_총인구수,2020년09월_남자 인구수,2020년09월_여자 인구수,2020년10월_총인구수,2020년10월_남자 인구수,2020년10월_여자 인구수,2020년11월_총인구수,2020년11월_남자 인구수,2020년11월_여자 인구수,2020년12월_총인구수,2020년12월_남자 인구수,2020년12월_여자 인구수
서울특별시,9733509 ,4745088 ,4988421 ,9736962 ,4745133 ,4991829 ,9733655 ,4742217 ,4991438 ,9726787 ,4737843 ,4988944 ,9724496 ,4735431 ,4989065 ,9720846 ,4732275 ,4988571 ,9715429 ,4728872 ,4986557 ,9708247 ,4724585 ,4983662 ,9699232 ,4719170 ,4980062 ,9689159 ,4713716 ,4975443 ,9679771 ,4708321 ,4971450 ,9668465 ,4701723 ,4966742 
부산광역시,3411819 ,1674202 ,1737617 ,3410925 ,1673266 ,1737659 ,3409932 ,1672252 ,1737680 ,3408347 ,1671199 ,1737148 ,3406942 ,1670175 ,1736767 ,3404423 ,1668618 ,1735805 ,3402776 ,1667613 ,1735163 ,3401072 ,1666462 ,1734610 ,3399749 ,1665554 ,1734195 ,3397598 ,1664277 ,1733321 ,3395514 ,1663055 ,1732459 ,3391946 ,1661000 ,1730946 
대구광역시,2436488 ,1204387 ,1232101 ,2432883 ,1202364 ,1230519 ,2433568 ,1202273 ,1231295 ,2431523 ,1200899 ,1230624 ,2429059 ,1199504 ,1229555 ,2427954 ,1198815 ,1229139 ,2428022 ,1198621 ,1229401 ,2428228 ,1198662 ,1229566 ,2426849 ,1197914 ,1228935 ,2424171 ,1196446 ,1227725 ,2421859 ,1195081 ,1226778 ,2418346 ,1193109 ,1225237 
인천광역시,2956119 ,1481749 ,1474370 ,2954955 ,1481133 ,1473822 ,2952689 ,1479839 ,1472850 ,2950972 ,1478916 ,1472056 ,2950063 ,1478307 ,1471756 ,2947217 ,1476813 ,1470404 ,2945565 ,1475837 ,1469728 ,2943491 ,1474620 ,1468871 ,2942553 ,1474105 ,1468448 ,2942233 ,1473834 ,1468399 ,2942307 ,1473795 ,1468512 ,2942828 ,1473943 ,1468885 
광주광역시,1456688 ,720931 ,735757 ,1456121 ,720686 ,735435 ,1455705 ,720460 ,735245 ,1456096 ,720536 ,735560 ,1455533 ,720300 ,735233 ,1455048 ,720060 ,734988 ,1454709 ,719860 ,734849 ,1454154 ,719601 ,734553 ,1453952 ,719445 ,734507 ,1452994 ,718912 ,734082 ,1451993 ,718370 ,733623 ,1450062 ,717348 ,732714 
대전광역시,1474152 ,736259 ,737893 ,1473125 ,735791 ,737334 ,1471858 ,735179 ,736679 ,1471650 ,734902 ,736748 ,1471915 ,734940 ,736975 ,1471040 ,734441 ,736599 ,1470225 ,734008 ,736217 ,1469431 ,733547 ,735884 ,1469099 ,733356 ,735743 ,1467556 ,732552 ,735004 ,1465893 ,731701 ,734192 ,1463882 ,730699 ,733183 
울산광역시,1147037 ,589233 ,557804 ,1145710 ,588626 ,557084 ,1144563 ,588127 ,556436 ,1144098 ,587902 ,556196 ,1143148 ,587434 ,555714 ,1142190 ,586939 ,555251 ,1141362 ,586533 ,554829 ,1140310 ,585922 ,554388 ,1139368 ,585387 ,553981 ,1138581 ,584963 ,553618 ,1137345 ,584305 ,553040 ,1136017 ,583708 ,552309 
세종특별자치시,342328 ,170729 ,171599 ,343788 ,171403 ,172385 ,344792 ,171951 ,172841 ,345216 ,172176 ,173040 ,345373 ,172269 ,173104 ,345341 ,172234 ,173107 ,346217 ,172660 ,173557 ,347232 ,173183 ,174049 ,348014 ,173613 ,174401 ,351007 ,175135 ,175872 ,353430 ,176336 ,177094 ,355831 ,177568 ,178263 
경기도,13250368 ,6665310 ,6585058 ,13265377 ,6672706 ,6592671 ,13288975 ,6684759 ,6604216 ,13311254 ,6696531 ,6614723 ,13324041 ,6703603 ,6620438 ,13338020 ,6711047 ,6626973 ,13351891 ,6717812 ,6634079 ,13370714 ,6727226 ,6643488 ,13388485 ,6736077 ,6652408 ,13400615 ,6741849 ,6658766 ,13413459 ,6748061 ,6665398 ,13427014 ,6754469 ,6672545 
강원도,1540540 ,774866 ,765674 ,1539521 ,774358 ,765163 ,1538577 ,773983 ,764594 ,1537780 ,773468 ,764312 ,1538639 ,773923 ,764716 ,1539282 ,774325 ,764957 ,1540094 ,774913 ,765181 ,1540689 ,775113 ,765576 ,1541104 ,775324 ,765780 ,1541836 ,775679 ,766157 ,1542374 ,776079 ,766295 ,1542840 ,776505 ,766335 
충청북도,1599391 ,810129 ,789262 ,1598599 ,809805 ,788794 ,1597639 ,809369 ,788270 ,1596613 ,809005 ,787608 ,1596710 ,809114 ,787596 ,1597593 ,809657 ,787936 ,1597936 ,809841 ,788095 ,1598162 ,810023 ,788139 ,1598536 ,810302 ,788234 ,1599102 ,810528 ,788574 ,1599680 ,810903 ,788777 ,1600837 ,811591 ,789246 
충청남도,2122455 ,1081552 ,1040903 ,2120995 ,1081153 ,1039842 ,2119749 ,1080705 ,1039044 ,2118457 ,1080256 ,1038201 ,2118510 ,1080425 ,1038085 ,2119771 ,1081224 ,1038547 ,2120692 ,1081752 ,1038940 ,2120519 ,1081807 ,1038712 ,2120559 ,1082029 ,1038530 ,2120347 ,1081967 ,1038380 ,2120607 ,1082311 ,1038296 ,2121029 ,1082634 ,1038395 
전라북도,1817302 ,903385 ,913917 ,1815112 ,902365 ,912747 ,1812936 ,901252 ,911684 ,1811619 ,900628 ,910991 ,1810097 ,899894 ,910203 ,1808802 ,899137 ,909665 ,1808044 ,898719 ,909325 ,1807094 ,898296 ,908798 ,1806441 ,898048 ,908393 ,1805937 ,897770 ,908167 ,1805204 ,897393 ,907811 ,1804104 ,896874 ,907230 
전라남도,1864712 ,935962 ,928750 ,1861894 ,934900 ,926994 ,1859290 ,933896 ,925394 ,1857083 ,932970 ,924113 ,1855945 ,932496 ,923449 ,1854618 ,931898 ,922720 ,1853339 ,931280 ,922059 ,1851985 ,930466 ,921519 ,1851124 ,930076 ,921048 ,1850680 ,929911 ,920769 ,1850557 ,929986 ,920571 ,1851549 ,930615 ,920934 
경상북도,2662508 ,1340346 ,1322162 ,2658956 ,1338907 ,1320049 ,2653418 ,1336289 ,1317129 ,2651054 ,1334981 ,1316073 ,2648760 ,1333815 ,1314945 ,2646493 ,1332780 ,1313713 ,2644001 ,1331461 ,1312540 ,2640932 ,1329919 ,1311013 ,2640003 ,1329408 ,1310595 ,2639763 ,1329257 ,1310506 ,2639245 ,1328939 ,1310306 ,2639422 ,1329211 ,1310211 
경상남도,3361344 ,1691504 ,1669840 ,3358828 ,1690600 ,1668228 ,3355341 ,1689137 ,1666204 ,3353380 ,1688178 ,1665202 ,3351347 ,1687289 ,1664058 ,3349454 ,1686331 ,1663123 ,3347637 ,1685427 ,1662210 ,3345169 ,1684134 ,1661035 ,3343770 ,1683263 ,1660507 ,3342831 ,1682733 ,1660098 ,3341063 ,1681719 ,1659344 ,3340216 ,1681423 ,1658793 
제주특별자치도,670749 ,337231 ,333518 ,670876 ,337295 ,333581 ,670508 ,337055 ,333453 ,670595 ,337119 ,333476 ,670793 ,337111 ,333682 ,671316 ,337343 ,333973 ,671913 ,337587 ,334326 ,672524 ,337822 ,334702 ,672948 ,337932 ,335016 ,673606 ,338190 ,335416 ,674001 ,338312 ,335689 ,674635 ,338609 ,336026 
