행정구역,2021년01월_총인구수,2021년01월_남자 인구수,2021년01월_여자 인구수,2021년02월_총인구수,2021년02월_남자 인구수,2021년02월_여자 인구수,2021년03월_총인구수,2021년03월_남자 인구수,2021년03월_여자 인구수,2021년04월_총인구수,2021년04월_남자 인구수,2021년04월_여자 인구수,2021년05월_총인구수,2021년05월_남자 인구수,2021년05월_여자 인구수,2021년06월_총인구수,2021년06월_남자 인구수,2021년06월_여자 인구수,2021년07월_총인구수,2021년07월_남자 인구수,2021년07월_여자 인구수,2021년08월_총인구수,2021년08월_남자 인구수,2021년08월_여자 인구수,2021년09월_총인구수,2021년09월_남자 인구수,2021년09월_여자 인구수,2021년10월_총인구수,2021년10월_남자 인구수,2021년10월_여자 인구수,2021년11월_총인구수,2021년11월_남자 인구수,2021년11월_여자 인구수,2021년12월_총인구수,2021년12월_남자 인구수,2021년12월_여자 인구수
전국,51825932 ,25838512 ,25987420 ,51824142 ,25836561 ,25987581 ,51705905 ,25787390 ,25918515 ,51702100 ,25784538 ,25917562 ,51683025 ,25775853 ,25907172 ,51672400 ,25770033 ,25902367 ,51671569 ,25768310 ,25903259 ,51669716 ,25766031 ,25903685 ,51667688 ,25763891 ,25903797 ,51662290 ,25760238 ,25902052 ,51652704 ,25754446 ,25898258 ,51638809 ,25746684 ,25892125 
서울특별시,9657969 ,4695999 ,4961970 ,9648606 ,4690282 ,4958324 ,9598484 ,4667524 ,4930960 ,9588711 ,4661711 ,4927000 ,9575355 ,4654720 ,4920635 ,9565990 ,4649442 ,4916548 ,9558153 ,4645177 ,4912976 ,9550227 ,4640740 ,4909487 ,9542256 ,4636069 ,4906187 ,9532428 ,4630630 ,4901798 ,9520880 ,4624290 ,4896590 ,9509458 ,4618040 ,4891418 
부산광역시,3389388 ,1659527 ,1729861 ,3387761 ,1658540 ,1729221 ,3372399 ,1651804 ,1720595 ,3369704 ,1650252 ,1719452 ,3367334 ,1648965 ,1718369 ,3364358 ,1647291 ,1717067 ,3361781 ,1645794 ,1715987 ,3359527 ,1644378 ,1715149 ,3358763 ,1643690 ,1715073 ,3356311 ,1642368 ,1713943 ,3353627 ,1640867 ,1712760 ,3350380 ,1639044 ,1711336 
대구광역시,2415813 ,1191656 ,1224157 ,2413191 ,1190244 ,1222947 ,2408875 ,1188070 ,1220805 ,2406296 ,1186663 ,1219633 ,2402940 ,1184977 ,1217963 ,2397646 ,1182380 ,1215266 ,2395749 ,1181351 ,1214398 ,2393626 ,1180223 ,1213403 ,2392787 ,1179640 ,1213147 ,2390721 ,1178486 ,1212235 ,2388230 ,1177136 ,1211094 ,2385412 ,1175632 ,1209780 
인천광역시,2942452 ,1473639 ,1468813 ,2941705 ,1473245 ,1468460 ,2936461 ,1470750 ,1465711 ,2936214 ,1470490 ,1465724 ,2936382 ,1470528 ,1465854 ,2936367 ,1470544 ,1465823 ,2937440 ,1470985 ,1466455 ,2938429 ,1471347 ,1467082 ,2941795 ,1472963 ,1468832 ,2945009 ,1474536 ,1470473 ,2946319 ,1475245 ,1471074 ,2948375 ,1476373 ,1472002 
광주광역시,1449115 ,716929 ,732186 ,1447953 ,716331 ,731622 ,1445473 ,715226 ,730247 ,1444787 ,714834 ,729953 ,1443154 ,714101 ,729053 ,1442647 ,713793 ,728854 ,1442482 ,713626 ,728856 ,1441970 ,713286 ,728684 ,1442827 ,713666 ,729161 ,1442454 ,713483 ,728971 ,1442138 ,713292 ,728846 ,1441611 ,713015 ,728596 
대전광역시,1463291 ,730396 ,732895 ,1462064 ,729663 ,732401 ,1458463 ,728075 ,730388 ,1457619 ,727522 ,730097 ,1457161 ,727279 ,729882 ,1456107 ,726666 ,729441 ,1455300 ,726281 ,729019 ,1454679 ,725956 ,728723 ,1455058 ,726142 ,728916 ,1454228 ,725742 ,728486 ,1453675 ,725406 ,728269 ,1452251 ,724626 ,727625 
울산광역시,1135370 ,583402 ,551968 ,1132953 ,582190 ,550763 ,1129254 ,580424 ,548830 ,1128163 ,579853 ,548310 ,1127175 ,579316 ,547859 ,1126369 ,578924 ,547445 ,1125727 ,578511 ,547216 ,1124459 ,577806 ,546653 ,1123236 ,577093 ,546143 ,1122566 ,576723 ,545843 ,1122495 ,576636 ,545859 ,1121592 ,576217 ,545375 
세종특별자치시,357871 ,178656 ,179215 ,359569 ,179528 ,180041 ,360462 ,180030 ,180432 ,361396 ,180462 ,180934 ,362036 ,180778 ,181258 ,362995 ,181328 ,181667 ,364364 ,181996 ,182368 ,365309 ,182430 ,182879 ,366560 ,183044 ,183516 ,368276 ,183879 ,184397 ,369465 ,184441 ,185024 ,371895 ,185678 ,186217 
경기도,13449499 ,6765862 ,6683637 ,13471758 ,6777066 ,6694692 ,13465837 ,6776866 ,6688971 ,13479798 ,6784466 ,6695332 ,13488910 ,6789327 ,6699583 ,13500688 ,6795088 ,6705600 ,13512867 ,6801008 ,6711859 ,13530519 ,6810105 ,6720414 ,13542284 ,6816449 ,6725835 ,13549577 ,6820025 ,6729552 ,13557973 ,6823931 ,6734042 ,13565450 ,6827298 ,6738152 
강원도,1541696 ,775727 ,765969 ,1540875 ,775186 ,765689 ,1536399 ,773248 ,763151 ,1536175 ,773037 ,763138 ,1535491 ,772893 ,762598 ,1535530 ,772949 ,762581 ,1536140 ,773232 ,762908 ,1536270 ,773260 ,763010 ,1536765 ,773495 ,763270 ,1537717 ,774008 ,763709 ,1538273 ,774232 ,764041 ,1538492 ,774332 ,764160 
충청북도,1599658 ,811057 ,788601 ,1599122 ,810751 ,788371 ,1595714 ,809457 ,786257 ,1596303 ,809679 ,786624 ,1596955 ,809946 ,787009 ,1597503 ,810225 ,787278 ,1597501 ,810258 ,787243 ,1597179 ,810095 ,787084 ,1596765 ,809981 ,786784 ,1596948 ,810093 ,786855 ,1597019 ,810261 ,786758 ,1597427 ,810672 ,786755 
충청남도,2119837 ,1082095 ,1037742 ,2119542 ,1082026 ,1037516 ,2115823 ,1080841 ,1034982 ,2116452 ,1081275 ,1035177 ,2117260 ,1081854 ,1035406 ,2117400 ,1082113 ,1035287 ,2118205 ,1082654 ,1035551 ,2118183 ,1082664 ,1035519 ,2118098 ,1082596 ,1035502 ,2118977 ,1083133 ,1035844 ,2119529 ,1083419 ,1036110 ,2119257 ,1083366 ,1035891 
전라북도,1802748 ,896115 ,906633 ,1801319 ,895485 ,905834 ,1797450 ,893974 ,903476 ,1796331 ,893415 ,902916 ,1794682 ,892833 ,901849 ,1794345 ,892670 ,901675 ,1793902 ,892487 ,901415 ,1792476 ,891776 ,900700 ,1791110 ,891073 ,900037 ,1789770 ,890378 ,899392 ,1788616 ,889824 ,898792 ,1786855 ,888994 ,897861 
전라남도,1850575 ,930132 ,920443 ,1849795 ,929889 ,919906 ,1844811 ,927884 ,916927 ,1844148 ,927667 ,916481 ,1842423 ,927074 ,915349 ,1840921 ,926398 ,914523 ,1839698 ,925751 ,913947 ,1838353 ,924912 ,913441 ,1835690 ,923651 ,912039 ,1834653 ,923037 ,911616 ,1833864 ,922677 ,911187 ,1832803 ,922221 ,910582 
경상북도,2637639 ,1328384 ,1309255 ,2636747 ,1328167 ,1308580 ,2635563 ,1327990 ,1307573 ,2635896 ,1328240 ,1307656 ,2633592 ,1327307 ,1306285 ,2632401 ,1326844 ,1305557 ,2631649 ,1326218 ,1305431 ,2630254 ,1325354 ,1304900 ,2628344 ,1324322 ,1304022 ,2627925 ,1324128 ,1303797 ,2627468 ,1324021 ,1303447 ,2626609 ,1323661 ,1302948 
경상남도,3338396 ,1680383 ,1658013 ,3336045 ,1679295 ,1656750 ,3330463 ,1677021 ,1653442 ,3329623 ,1676550 ,1653073 ,3327298 ,1675389 ,1651909 ,3325840 ,1674612 ,1651228 ,3324735 ,1674003 ,1650732 ,3322373 ,1672737 ,1649636 ,3319271 ,1671042 ,1648229 ,3318161 ,1670394 ,1647767 ,3316365 ,1669512 ,1646853 ,3314183 ,1668338 ,1645845 
제주특별자치도,674615 ,338553 ,336062 ,675137 ,338673 ,336464 ,673974 ,338206 ,335768 ,674484 ,338422 ,336062 ,674877 ,338566 ,336311 ,675293 ,338766 ,336527 ,675876 ,338978 ,336898 ,675883 ,338962 ,336921 ,676079 ,338975 ,337104 ,676569 ,339195 ,337374 ,676768 ,339256 ,337512 ,676759 ,339177 ,337582 
