행정구역,2022년01월_총인구수,2022년01월_남자 인구수,2022년01월_여자 인구수,2022년02월_총인구수,2022년02월_남자 인구수,2022년02월_여자 인구수,2022년03월_총인구수,2022년03월_남자 인구수,2022년03월_여자 인구수,2022년04월_총인구수,2022년04월_남자 인구수,2022년04월_여자 인구수,2022년05월_총인구수,2022년05월_남자 인구수,2022년05월_여자 인구수,2022년06월_총인구수,2022년06월_남자 인구수,2022년06월_여자 인구수,2022년07월_총인구수,2022년07월_남자 인구수,2022년07월_여자 인구수,2022년08월_총인구수,2022년08월_남자 인구수,2022년08월_여자 인구수,2022년09월_총인구수,2022년09월_남자 인구수,2022년09월_여자 인구수,2022년10월_총인구수,2022년10월_남자 인구수,2022년10월_여자 인구수,2022년11월_총인구수,2022년11월_남자 인구수,2022년11월_여자 인구수,2022년12월_총인구수,2022년12월_남자 인구수,2022년12월_여자 인구수
서울특별시,9505926 ,4615631 ,4890295 ,9508451 ,4615823 ,4892628 ,9506778 ,4613910 ,4892868 ,9500480 ,4610082 ,4890398 ,9496887 ,4607440 ,4889447 ,9494807 ,4605655 ,4889152 ,9493211 ,4604405 ,4888806 ,9488454 ,4601295 ,4887159 ,9450768 ,4582361 ,4868407 ,9443722 ,4578459 ,4865263 ,9436836 ,4574781 ,4862055 ,9428372 ,4570048 ,4858324 
부산광역시,3348874 ,1638207 ,1710667 ,3347396 ,1637111 ,1710285 ,3343504 ,1634958 ,1708546 ,3340214 ,1633170 ,1707044 ,3338167 ,1631825 ,1706342 ,3336737 ,1630944 ,1705793 ,3334595 ,1629643 ,1704952 ,3331444 ,1627821 ,1703623 ,3323826 ,1623784 ,1700042 ,3322286 ,1622749 ,1699537 ,3320276 ,1621486 ,1698790 ,3317812 ,1619915 ,1697897 
대구광역시,2383858 ,1174667 ,1209191 ,2381095 ,1173039 ,1208056 ,2380494 ,1172632 ,1207862 ,2378573 ,1171451 ,1207122 ,2376676 ,1170309 ,1206367 ,2375306 ,1169571 ,1205735 ,2374120 ,1168845 ,1205275 ,2371936 ,1167564 ,1204372 ,2367735 ,1165326 ,1202409 ,2366852 ,1164728 ,1202124 ,2365619 ,1164024 ,1201595 ,2363691 ,1162865 ,1200826 
인천광역시,2949150 ,1476663 ,1472487 ,2950978 ,1477432 ,1473546 ,2952699 ,1478272 ,1474427 ,2953260 ,1478514 ,1474746 ,2955167 ,1479428 ,1475739 ,2957066 ,1480432 ,1476634 ,2960580 ,1482177 ,1478403 ,2963117 ,1483370 ,1479747 ,2960097 ,1481896 ,1478201 ,2962388 ,1483026 ,1479362 ,2964820 ,1484103 ,1480717 ,2967314 ,1485175 ,1482139 
광주광역시,1441636 ,713037 ,728599 ,1440032 ,712199 ,727833 ,1438463 ,711289 ,727174 ,1436916 ,710524 ,726392 ,1436012 ,710062 ,725950 ,1435378 ,709685 ,725693 ,1434703 ,709305 ,725398 ,1434397 ,709090 ,725307 ,1432856 ,708248 ,724608 ,1432651 ,708119 ,724532 ,1432049 ,707815 ,724234 ,1431050 ,707299 ,723751 
대전광역시,1451272 ,724026 ,727246 ,1450862 ,723812 ,727050 ,1450057 ,723361 ,726696 ,1449360 ,723063 ,726297 ,1448933 ,722840 ,726093 ,1448401 ,722517 ,725884 ,1448182 ,722366 ,725816 ,1448240 ,722486 ,725754 ,1446602 ,721604 ,724998 ,1446863 ,721745 ,725118 ,1446749 ,721609 ,725140 ,1446072 ,721245 ,724827 
울산광역시,1121100 ,575939 ,545161 ,1119446 ,575165 ,544281 ,1118010 ,574444 ,543566 ,1117204 ,573984 ,543220 ,1116482 ,573619 ,542863 ,1115609 ,573152 ,542457 ,1114753 ,572615 ,542138 ,1113458 ,571867 ,541591 ,1112191 ,571248 ,540943 ,1111707 ,570960 ,540747 ,1111371 ,570756 ,540615 ,1110663 ,570368 ,540295 
세종특별자치시,374377 ,186907 ,187470 ,376399 ,187858 ,188541 ,377296 ,188356 ,188940 ,378196 ,188778 ,189418 ,379340 ,189302 ,190038 ,380215 ,189723 ,190492 ,380889 ,190038 ,190851 ,381439 ,190276 ,191163 ,381925 ,190541 ,191384 ,382258 ,190683 ,191575 ,382770 ,190987 ,191783 ,383591 ,191389 ,192202 
경기도,13571450 ,6830317 ,6741133 ,13574369 ,6831902 ,6742467 ,13575936 ,6832830 ,6743106 ,13577808 ,6833859 ,6743949 ,13581496 ,6835968 ,6745528 ,13585967 ,6838396 ,6747571 ,13589362 ,6840138 ,6749224 ,13590056 ,6840757 ,6749299 ,13574353 ,6832856 ,6741497 ,13579508 ,6835151 ,6744357 ,13583238 ,6836309 ,6746929 ,13589432 ,6839276 ,6750156 
강원도,1538660 ,774315 ,764345 ,1539051 ,774543 ,764508 ,1539036 ,774522 ,764514 ,1539038 ,774562 ,764476 ,1539005 ,774458 ,764547 ,1539064 ,774405 ,764659 ,1539178 ,774387 ,764791 ,1538801 ,774193 ,764608 ,1537396 ,773576 ,763820 ,1537339 ,773491 ,763848 ,1536863 ,773182 ,763681 ,1536498 ,772947 ,763551 
충청북도,1597097 ,810548 ,786549 ,1597022 ,810649 ,786373 ,1597484 ,811004 ,786480 ,1597284 ,811063 ,786221 ,1597033 ,811009 ,786024 ,1597118 ,811127 ,785991 ,1597163 ,811286 ,785877 ,1596886 ,811289 ,785597 ,1595624 ,810741 ,784883 ,1595578 ,810747 ,784831 ,1595284 ,810731 ,784553 ,1595058 ,810782 ,784276 
충청남도,2118638 ,1083242 ,1035396 ,2118912 ,1083507 ,1035405 ,2119099 ,1083753 ,1035346 ,2119296 ,1083970 ,1035326 ,2119661 ,1084296 ,1035365 ,2120201 ,1084712 ,1035489 ,2121011 ,1085037 ,1035974 ,2121082 ,1085209 ,1035873 ,2120269 ,1084756 ,1035513 ,2121333 ,1085425 ,1035908 ,2122357 ,1086076 ,1036281 ,2123037 ,1086632 ,1036405 
전라북도,1785392 ,888291 ,897101 ,1783923 ,887611 ,896312 ,1782205 ,886928 ,895277 ,1780824 ,886274 ,894550 ,1779230 ,885475 ,893755 ,1778279 ,884908 ,893371 ,1776949 ,884164 ,892785 ,1775664 ,883436 ,892228 ,1772596 ,882044 ,890552 ,1771776 ,881608 ,890168 ,1770839 ,881151 ,889688 ,1769607 ,880592 ,889015 
전라남도,1832604 ,922190 ,910414 ,1831451 ,921753 ,909698 ,1829501 ,920971 ,908530 ,1828550 ,920492 ,908058 ,1827674 ,920050 ,907624 ,1826440 ,919417 ,907023 ,1825534 ,918956 ,906578 ,1824104 ,918260 ,905844 ,1820458 ,916611 ,903847 ,1819157 ,915996 ,903161 ,1818484 ,915677 ,902807 ,1817697 ,915272 ,902425 
경상북도,2624310 ,1322509 ,1301801 ,2622026 ,1321638 ,1300388 ,2619641 ,1320888 ,1298753 ,2617552 ,1320018 ,1297534 ,2616177 ,1319332 ,1296845 ,2613963 ,1318198 ,1295765 ,2612016 ,1317139 ,1294877 ,2609356 ,1315815 ,1293541 ,2605066 ,1313983 ,1291083 ,2603389 ,1313237 ,1290152 ,2602052 ,1312637 ,1289415 ,2600492 ,1311881 ,1288611 
경상남도,3311438 ,1666968 ,1644470 ,3307005 ,1664907 ,1642098 ,3303274 ,1663146 ,1640128 ,3300692 ,1661866 ,1638826 ,3298016 ,1660600 ,1637416 ,3295615 ,1659245 ,1636370 ,3293709 ,1658198 ,1635511 ,3290991 ,1656746 ,1634245 ,3286470 ,1654622 ,1631848 ,3284495 ,1653654 ,1630841 ,3282849 ,1652807 ,1630042 ,3280493 ,1651675 ,1628818 
제주특별자치도,676691 ,339071 ,337620 ,677143 ,339248 ,337895 ,677218 ,339320 ,337898 ,677413 ,339383 ,338030 ,677766 ,339578 ,338188 ,678012 ,339697 ,338315 ,678491 ,339951 ,338540 ,679016 ,340105 ,338911 ,678426 ,339801 ,338625 ,678324 ,339731 ,338593 ,678373 ,339758 ,338615 ,678159 ,339590 ,338569 
